Date,Open,High,Low,Close,Volume,H-L,H-PC,L-PC,TR,ATR
2020-11-03,35.13,35.98,34.9,35.35,11439110,1.0799999999999983,1.4299999999999997,0.3500000000000014,1.4299999999999997,1.2144999999999988
2020-11-04,35.26,35.77,34.27,35.24,14740620,1.5,0.4200000000000017,1.0799999999999983,1.5,1.2219999999999989
2020-11-05,36.81,37.25,35.34,37.14,35075004,1.9099999999999966,2.009999999999998,0.10000000000000142,2.009999999999998,1.2724999999999989
2020-11-06,37.5,38.14,37.01,37.47,18089200,1.1300000000000026,1.0,0.13000000000000256,1.1300000000000026,1.295499999999999
2020-11-09,38.78,39.71,38.64,38.96,22100754,1.0700000000000003,2.240000000000002,1.1700000000000017,2.240000000000002,1.3809999999999993
2020-11-10,39.65,41.59,39.59,41.08,26746936,2.0,2.6300000000000026,0.6300000000000026,2.6300000000000026,1.4734999999999996
2020-11-11,41.37,41.75,40.13,40.56,19841052,1.6199999999999974,0.6700000000000017,0.9499999999999957,1.6199999999999974,1.5214999999999992
2020-11-12,40.12,40.21,38.82,39.32,20268328,1.3900000000000006,0.3500000000000014,1.740000000000002,1.740000000000002,1.5254999999999996
2020-11-13,39.69,41.32,39.6,41.19,15021310,1.7199999999999989,2.0,0.28000000000000114,2.0,1.5814999999999997
2020-11-16,41.9,42.13,40.95,42.13,16692064,1.1799999999999997,0.9400000000000048,0.23999999999999488,1.1799999999999997,1.6039999999999996
2020-11-17,41.82,42.53,41.16,41.98,16088206,1.3700000000000045,0.3999999999999986,0.970000000000006,1.3700000000000045,1.5219999999999998
2020-11-18,42.1,44.13,42.1,42.72,27632540,2.030000000000001,2.1500000000000057,0.12000000000000455,2.1500000000000057,1.576
2020-11-19,42.72,43.18,42.19,42.82,17214470,0.990000000000002,0.46000000000000085,0.5300000000000011,0.990000000000002,1.5435000000000005
2020-11-20,42.81,43.32,42.37,43.04,16887844,0.9500000000000028,0.5,0.45000000000000284,0.9500000000000028,1.5285000000000006
2020-11-23,43.88,45.16,43.58,44.77,22569560,1.5799999999999983,2.1199999999999974,0.5399999999999991,2.1199999999999974,1.5535000000000008
2020-11-24,45.84,46.7,45.08,46.46,20048744,1.6200000000000045,1.9299999999999997,0.30999999999999517,1.9299999999999997,1.5955000000000006
