Date,Close,Predections
2019-02-25,40.14,40.40141
2019-02-26,40.11,40.55892
2019-02-27,40.0,40.505627
2019-02-28,39.48,40.428986
2019-03-01,39.53,39.90242
2019-03-04,39.25,39.937042
2019-03-05,39.28,39.629013
2019-03-06,38.67,39.621475
2019-03-07,38.04,39.012142
2019-03-08,37.99,38.36247
2019-03-11,38.62,38.32315
2019-03-12,38.62,38.914528
2019-03-13,38.8,38.878704
2019-03-14,38.03,39.092056
2019-03-15,38.07,38.373295
2019-03-18,37.98,38.42723
2019-03-19,38.27,38.34732
2019-03-20,37.0,38.601795
2019-03-21,37.35,37.335445
2019-03-22,36.44,37.71543
2019-03-25,36.75,36.765686
2019-03-26,36.87,37.057404
2019-03-27,36.61,37.192123
2019-03-28,37.06,36.87619
2019-03-29,37.1,37.38905
2019-04-01,37.76,37.41912
2019-04-02,37.81,38.092953
2019-04-03,38.39,38.18059
2019-04-04,38.79,38.772285
2019-04-05,38.94,39.21735
2019-04-08,39.06,39.36816
2019-04-09,38.86,39.531982
2019-04-10,39.25,39.33928
2019-04-11,39.33,39.71673
2019-04-12,39.71,39.778214
2019-04-15,39.57,40.12511
2019-04-16,39.66,40.001186
2019-04-17,39.99,40.07627
2019-04-18,40.3,40.409843
2019-04-22,39.5,40.684677
2019-04-23,39.83,39.9109
2019-04-24,39.72,40.251106
2019-04-25,39.11,40.12295
2019-04-26,39.68,39.462463
2019-04-29,40.01,40.065952
2019-04-30,38.95,40.339222
2019-05-01,38.75,39.271317
2019-05-02,38.25,39.136425
2019-05-03,38.8,38.612434
2019-05-06,38.09,39.115753
2019-05-07,38.53,38.39036
2019-05-08,38.21,38.83069
2019-05-09,37.58,38.533604
2019-05-10,37.89,37.87053
2019-05-13,36.56,38.24796
2019-05-14,37.04,36.85217
2019-05-15,37.37,37.37456
2019-05-16,37.38,37.69546
2019-05-17,37.0,37.63575
2019-05-20,36.97,37.324226
2019-05-21,37.13,37.310818
2019-05-22,35.55,37.47735
2019-05-23,35.13,35.85466
2019-05-24,35.12,35.470276
2019-05-28,34.85,35.459698
2019-05-29,34.79,35.107906
2019-05-30,34.82,35.063503
2019-05-31,33.34,35.088825
2019-06-03,33.7,33.54728
2019-06-04,35.73,34.00331
2019-06-05,35.84,36.077953
2019-06-06,35.19,36.06577
2019-06-07,35.49,35.50214
2019-06-10,36.01,35.906937
2019-06-11,36.2,36.404457
